ITEM,HS CODE,GOODS DESCRIPTION 
461,20011000,"Cucumbers and gherkins, preserved by vinegar or acetic acid"
462,20019000,"Other vegetables,(incl onions), fruits, etc, preserved by vinegar or acetic acid, nes"
463,20021000,"Tomatoes, whole or in pieces, preserved other than by vinegar, etc"
464,20029000,"Tomatoes, preserved otherwise than by vinegar or acetic acid, nes"
465,20031000,"Mushrooms of the genus Agricus, preserved otherwise than by vinegar or acetic acid"
466,20039000,Other mushrooms prepared or preserved otherwise by vinegar or acetic acid.
467,20041000,"Potatoes,preserved not by vinegar/acetic acid frozen  excl prods  of 2006)"
468,20049000,Vegetables nes preserved not by vinegar etc  frozen  exc  prods of 2006)
469,20051000,"Homogenized vegetable, preserved other than by vinegar, etc, not frozen"
470,20052000,"Potatoes, preserved other than by vinegar or acetic acid, not frozen"
471,20054000,"Peas, preserved other than by vinegar or acetic acid, not frozen"
472,20055100,"Shelled beans, preserved other than by vinegar, etc, not frozen"
473,20055900,"Beans, unshelled, preserved other than by vinegar, etc, not frozen"
474,20056000,"Asparagus, preserved other than by vinegar or acetic acid, not frozen"
475,20057000,"Olives, preserved other than by vinegar or acetic acid, not frozen"
476,20058000,"Sweetcorn, preserved other than by vinegar or acetic acid, not frozen"
477,20059900,Other vegetables and mixtures of vegetables nes
478,20060000,Vegetables fruit nuts fruitpeel   other parts of plants preserved by sugar
479,20071000,"Jams, fruit jellies, marmalades, etc, homogenized"
480,20079100,"Jams, fruit jellies, marmalades, etc, of citrus fruit"
481,20079900,"Other jams, fruit jellies, marmalades, etc, being cooked preparations"
482,20081100,"Ground-nuts, preserved"
483,20081900,"Nuts and seeds including mixtures, preserved"
484,20082000,"Pineapples, prepared or preserved (excl. those of 20.06 and 20.07)"
485,20083000,"Citrus fruit, prepared or preserved (excl. those of 20.06 and 20.07)"
486,20084000,"Pears, prepared or preserved (excl. those of 20.06 and 20.07)"
487,20085000,"Apricots, prepared or preserved (excl. those of 20.06and 20.07)"
488,20086000,"Cherries, prepared or preserved (excl. those of 20.06 and 20.07)"
489,20087000,"Peaches,(incl nectarines) prepared or preserved (excl. those of 20.06 and 20.07)"
490,20088000,"Strawberries, prepared or preserved (excl. those of 20.06 and 20.07)"
491,20089200,"Mixtures of fruit, prepared or preserved (excl. 20.06 and 20.07)"
492,20089900,"Other fruit, etc, prepared or preserved, nes"
493,20091200,"Unfrozen orange juice, unfermented, not containing added spirit, of a Brix value <20."
494,20091900,"Unfrozen orange juice, unfermented, not containing added spirit of a Brix value >20"
495,20092100,"Grapefruit juices, unfermented, not containing added spirit, of a brix value<=20"
496,20092900,"Unfermented grapefruit juices, not containing added spirit, of a Brix value>20"
497,20093100,Single citrus fruit juices(excl orange and grapefruit)unfermented of a Brix value<=20
498,20093900,Other single fruit juices(excl grapefruit and orange) unfermented ...........
499,20094100,"Pineapple juices, unfermented, not containing added spirit, of a Brix value<=20"
500,20094900,"Other pineapple juices, unfermented ......."
501,20095000,"Tomato juice, unfermented, not containing added spirit"
502,20096100,"Grape juice(incl grape must)unfermented,not containing added spirits of a Brix value<=30"
503,20096900,Other grape juices(incl grape must) unfermented
504,20097100,"Apple juice, unfermented, not containing added spirit, of a Brix Value <=20"
505,20097900,"Other apple juices, unfermented ......"
506,20098000,"Juice of other single fruit or vegetable fruit,unfermented, not containing added spirit"
507,20099000,"Mixtures of juices, unfermented, not containing added spirit"
508,21011100,"Extracts, essences and concentrates of coffee"
509,21011200,Preparations with a basis of extract/essence etc or with a basis of COFFEE
510,21012000,"Extracts, essences, concentrates and preparations of tea or maté"
511,21013000,"Roasted coffee substitutes (incl. chicory), etc"
512,21021000,Active yeasts
513,21022000,"Inactive yeasts; other single-cell micro-organisms, dead"
514,21023000,Prepared baking powders
515,21031000,Soya sauce
516,21032000,Tomato ketchup and other tomato sauces
517,21033000,"Mustard flour and meal, prepared mustard"
518,21039010,"Sauces, mixed condiments and seasoning being flavours for the food/drink industry"
519,21039090,"Other sauces, mixed condiments and seasoning nes"
520,21041000,Soups and broths and preparations therefor
521,21042000,Homogenized composite food preparations
522,21050000,"Ice cream and other edible ice, whether or not containing cocoa"
523,21061000,Protein concentrates and textured protein substances
524,21069010,Opaque beer powder
525,21069090,"Other food preperations, nes"
526,22011011,"Aerated waters in closed bottles or other containers, ready for drinking"
527,22011019,Aerated waters excl 22011011
528,22011090,Other mineral waters not aerated  not sweetened
529,22019000,Other unsweetened waters;ice and snow
